,name,total_rating,cost_rank,abv,cask_type,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
193,Loch Lomond 50 Year,0,5,46.2,American oak hogshead and sherry European oak hogshead,0,0,25,10,10,75,80,55,0,0,20,35,55,10
194,Gooderham & Worts Three Grain Little Trinity 17 Year,46,3,45.0,ex-bourbon and virgin oak,45,0,50,10,20,55,50,45,0,0,50,15,55,30
195,George T. Stagg Bourbon (Fall 2017),421,4,64.6,"new, charred American oak",45,0,75,20,30,45,45,65,0,0,40,30,30,0
196,Old Forester Birthday Bourbon 2017,209,3,48.0,"new, charred American oak",30,0,55,15,15,50,50,75,0,0,40,30,30,0
197,Port Ellen 37 Year (2017 Special Release),4,5,51.0,refill American oak hogheads and refill American oak butts,70,80,40,10,50,80,60,50,40,70,50,30,30,20
198,Benromach 1974 Heritage Single Cask #1583,1,5,49.1,sherry butt,30,0,35,10,20,60,60,65,0,10,20,25,65,10
199,Craigellachie 31 Year,7,5,52.2,,40,0,50,0,50,80,80,60,0,20,80,20,80,10
200,Laphroaig Cairdeas 2017 Cask Strength Quarter Cask Edition,156,4,57.2,"first-fill bourbon, finished in American oak quarter-casks",75,80,80,25,10,40,40,35,25,25,25,35,45,0
201,J.P. Wiser's Dissertation,58,3,46.1,Virgin Oak,40,0,50,30,25,50,55,45,10,0,40,25,50,45
202,Compass Box Rivals,6,5,46.0,"first-fill ex-bourbon, French oak, and sherry casks",20,0,15,15,10,35,90,50,10,0,45,15,70,35
203,Four Roses Limited Edition 50th Anniversary Small Batch Bourbon (2017),172,4,54.3,"new, charred American oak",30,0,50,10,0,70,80,70,0,10,90,40,40,10
204,"Booker's Bourbon Batch 2017-01 ""Tommy's Batch""",147,3,64.25,"new, charred American oak",40,0,80,30,30,60,60,40,0,0,30,30,30,0
205,Johnnie Walker 18 Year,404,4,40.0,,40,80,50,40,30,70,70,70,0,10,50,40,70,40
206,anCnoc 35 Year,2,5,44.3,Spanish and American oak,5,0,30,25,35,50,60,40,0,0,40,40,50,20
207,WhistlePig The Boss Hog III: The Independent,87,5,60.3,finished in 250-liter Scotch hogsheads refitted with American Oak heads,10,0,70,35,20,55,55,25,10,10,30,0,15,10
208,Bruichladdich Black Art 1992 05.1 Edition 24 Year,95,5,48.4,,10,0,40,0,50,80,80,60,40,50,30,20,70,10
209,Caol Ila 15 Year 2000 (2016 Special Release),48,4,61.5, refill American oak casks and European oak butts,30,0,30,20,50,70,50,60,20,50,40,30,40,10
210,Cambus 40 Year 1975 (2016 Special Release),4,5,52.7,refill American oak hogsheads,20,0,50,70,60,70,50,70,0,0,70,20,40,20
211,Belle Meade Bourbon Madeira Cask Finish,235,3,45.2,"new, charred American oak and ex-Malmsey Madeira",30,0,40,20,40,80,90,70,0,0,80,20,60,20
212,Old Forester Birthday Bourbon 2016,173,3,48.5,"new, charred American oak",30,0,60,40,40,60,70,70,0,0,70,10,40,0
213,Eagle Rare 17 Year Bourbon (Fall 2016),47,4,45.0,"new, charred American oak",30,0,40,10,30,60,80,70,0,0,70,0,10,0
214,Kavalan Solist PX Sherry Single Cask Strength,45,5,50.0,ex-PX Sherry,0,0,30,10,40,70,70,50,0,0,40,10,40,20
215,Lost Spirits Leviathan I Single Malt,9,3,53.0,French oak ex-late harvest California cabernet sauvignon,80,100,60,10,55,60,55,40,10,10,25,0,15,20
216,Stauning Peated Whisky 5th Edition (Bottled 2015),5,4,51.1,ex-bourbon,75,65,60,65,85,65,50,60,75,60,55,0,10,0
217,Stauning KAOS (Bottled October 2014),14,5,54.3,,50,35,65,75,85,70,40,35,0,10,25,0,15,20
218,Four Roses Limited Edition Bourbon Elliott's Select (2016),135,4,58.4,"new, charred American oak",20,0,60,30,20,70,70,60,0,0,70,10,0,0
219,Booker's Rye Whiskey Big Time Batch (2016 Release),141,5,68.1,"new, charred American oak",30,0,80,10,50,80,70,60,0,0,50,20,0,0
220,Lagavulin Fèis Ìle 2015,17,5,59.9,"ex-bourbon, ex-Pedro Ximénez sherry, used puncheon barrels",40,30,30,10,10,60,70,60,30,40,50,10,30,20
221,Lock Stock & Barrel Straight Rye Whiskey 16 Year,92,4,53.5,"new, charred American oak",20,0,80,70,20,70,50,40,0,0,40,30,20,20
222,Teeling Distillery Exclusive 23 Year Single Malt,9,5,52.5,ex-oloroso sherry hogshead,0,0,20,0,20,80,80,60,0,0,30,20,40,20
223,Forty Creek Port Wood Reserve,11,3,45.0,finished in Canadian-tawny-port-style wine barrels,40,0,45,0,0,65,60,55,10,0,45,20,65,30
224,Old Forester Birthday Bourbon 2014,43,3,48.5,"new, charred American oak",20,0,60,35,5,45,40,30,0,0,60,0,15,15
225,Crown Royal Noble Collection Cornerstone Blend,64,3,40.3,,10,0,70,10,10,70,60,50,0,10,50,30,60,10
226,Laphroaig Lore,894,4,48.0,"first-fill sherry, first-fill bourbon, refill bourbon, and whisky finished in European ex-sherry hogshead",70,50,35,40,20,80,80,50,60,30,20,10,40,15
227,Royal Brackla 21 Year (Discontinued),47,5,40.0,oloroso sherry butts,20,0,10,20,50,70,70,50,0,0,40,0,50,30
228,"Booker's Bourbon Batch 2016-01 ""Booker's Bluegrass""",254,3,63.95,"new, charred American oak",15,0,60,0,40,70,60,30,5,0,40,0,15,0
229,Charbay Hop Flavored Whiskey Release III,10,5,66.2,new #3 “gator skin” char American oak barrels and neutral vessels,60,0,70,90,20,70,70,40,20,20,20,60,60,80
230,Charbay Hop Flavored Whiskey R5 Lot No. 3,20,3,49.5,French oak,6,0,70,80,20,70,70,70,20,20,10,40,40,80
231,Säntis Malt Appenzeller Single Malt Edition Dreifaltigkeit,76,3,52.0,Old Oak Beer Casks,70,50,40,0,50,60,60,30,10,10,20,0,10,0
232,Woodford Reserve Master's Collection 1838 Style White Corn Bourbon,111,4,45.2,"new, charred American oak",0,0,20,10,20,40,30,50,0,0,40,10,30,30
233,Laphroaig Cairdeas 200th Anniversary Edition,153,3,51.5,,70,70,0,10,20,80,80,60,30,20,40,0,60,10
234,Glenmorangie 1970's Collection '71,6,5,43.0,"ex-bourbon, ex-sherry",20,10,10,0,20,80,80,50,0,0,30,20,50,10
235,Glenmorangie 1970's Collection '76,1,5,43.0,,20,0,60,40,50,60,50,30,0,0,30,20,50,50
236,Heartwood The Revelation Single Malt,2,5,62.5,ex-port & ex-bourbon,40,30,40,20,40,50,60,70,20,20,70,30,60,50
237,Laphroaig 10 Year Cask Strength (Batch 5),204,3,57.2,ex-bourbon,100,90,60,70,50,80,60,40,90,40,30,60,40,60
238,Octomore 06.1/167 Scottish Barley,347,4,57.0,,100,100,40,10,40,100,60,60,20,20,60,10,80,20
239,Highland Park 21 Year,93,5,47.5,primarily American ex-sherry casks,15,10,65,10,10,60,65,50,5,5,35,10,40,10
240,I.W. Harper Straight Bourbon,753,2,41.0,"new, charred American oak",5,0,40,5,10,80,80,75,0,0,30,10,60,10
241,Jura 1984,24,5,44.0,"American white oak, Amoroso and Apostoles ex-sherry butts",20,0,60,20,40,90,90,80,20,20,50,30,80,40
242,I.W. Harper 15 Year Bourbon,1001,3,43.0,"new, charred American oak",0,0,70,70,40,60,70,80,0,0,80,40,60,80
243,Balvenie Peated Cask 17 Year,67,4,43.0,"American oak, peated American oak",35,15,20,30,15,80,80,78,10,15,40,0,10,10
244,Balblair 1999 2nd Release,105,4,46.0,ex-bourbon/ex-sherry,0,0,35,0,10,80,80,80,0,5,30,0,40,10
245,anCnoc Vintage 1975,10,5,46.0,ex-bourbon/ex-sherry,15,0,30,0,20,80,80,70,0,10,40,5,40,0
246,Woodford Reserve Straight Rye,1974,2,45.2,"new, charred American oak",5,0,40,0,10,70,70,70,0,10,15,15,25,0
247,Four Roses Limited Edition Small Batch Bourbon (2014),308,3,55.9,"new, charred American oak",0,0,30,0,10,70,70,80,0,0,25,0,30,5
248,Yamazaki Sherry Cask 2013,24,4,48.0,Oloroso Sherry Casks,10,15,55,25,40,70,80,75,20,30,25,30,85,40
249,Old Pulteney 21 Year,211,4,46.0,ex-bourbon/ex-sherry,30,25,10,5,20,85,90,75,40,25,35,0,40,0
250,Glenfarclas 40 Year,76,5,46.0,European oak ex-oloroso sherry cask,30,0,40,30,40,90,90,80,0,20,50,50,80,40
251,Lock Stock & Barrel Straight Rye Whiskey 13 Year,203,4,50.65,"new, charred American oak",30,0,70,40,30,60,50,40,0,0,50,30,30,10
252,Michter's 20 Year Single Barrel Bourbon,117,5,57.1,"new, charred American oak",0,0,20,15,10,80,80,75,0,0,20,0,15,15
253,Parker's Heritage Wheat Whiskey 13 Year,143,4,67.5,"new, charred American oak",20,0,40,40,30,70,70,80,0,0,70,30,50,0
254,Westland Peat Week 2014 Single Cask #279,10,3,54.0,1st fill ex Pedro Ximenez sherry hogshead,60,60,60,40,20,60,60,80,20,20,40,40,80,10
255,Glen Spey 21 Year,13,5,50.4,American ex-bourbon & American ex-sherry,20,0,50,30,40,60,60,70,0,0,50,30,80,10
256,GlenDronach Parliament 21 Year,495,5,48.0,"ex-Oloroso sherry, ex-Pedro Ximenez sherry",30,0,60,30,30,60,60,70,0,10,30,40,70,50
257,Laphroaig 10 Year Cask Strength (Batch 1),802,3,57.8,ex-bourbon,60,80,60,60,50,60,60,40,60,50,40,30,30,0
258,Suntory Royal,99,3,43.0,"Used Bourbon, Hogshead, Punchen, Sherry Casks, Mizunara",20,0,40,70,70,70,80,70,0,20,70,60,70,70
259,Hakushu Heavily Peated (2013 Release),59,4,48.0,"Used Bourbon, Hogshead, Puncheon, Sherry Casks",70,70,70,70,70,80,80,60,60,20,60,50,70,70
260,J.P. Wiser's Legacy Canadian Whisky,54,2,45.0,"toasted, new white oak",40,0,60,20,10,55,70,55,20,0,55,20,60,50
261,Talisker 18 Year,660,4,45.8,American and European oak refill cask,70,70,60,50,80,10,90,60,60,60,60,30,70,80
262,Port Charlotte PC7 Sin An Doigh Ileach,24,5,61.0,ex-bourbon,60,70,35,40,40,50,55,40,35,35,20,20,40,20
263,Compass Box Spice Tree,933,2,46.0,New French Oak Heads & First Fill American Oak Bodies,60,20,80,20,30,70,80,80,10,10,70,50,70,50
264,Buchanan's Red Seal,66,5,40.0,,15,5,20,0,10,80,75,70,0,0,70,20,70,0
265,Johnnie Walker Platinum,805,4,40.0,,40,80,50,40,30,70,70,70,0,10,50,40,70,40
266,Barrell Bourbon New Year 2023,5,4,56.77,"new, charred American oak",20,0,50,30,10,80,90,80,0,10,90,30,10,0
267,Aberfeldy 18 Year Tuscan Red Wine Casks,2,4,43.0,finished in Tuscan red wine casks,0,0,40,50,40,70,80,50,0,0,50,40,90,60
268,"Booker's Bourbon Batch 2022-03 ""Kentucky Tea Batch""",48,4,63.25,"new, charred American oak",5,0,60,0,25,55,60,40,0,0,20,10,15,0
269,Widow Jane The Vaults 14 Year Bourbon (2022 Release),2,5,49.5,"new, charred American oak; finished in Missouri Ozark oak",40,0,65,30,10,65,60,45,0,40,40,35,25,0
270,Oban 10 Year The Celestial Blaze (2022 Special Release),2,4,57.1,refill new American oak & Amontillado seasoned casks,35,35,30,10,20,45,45,35,10,5,25,10,50,10
271,Singleton of Glen Ord 15 Year The Enchantress of the Ruby Solstice (2022 Special Release),2,4,54.2,refill American and European oak casks,5,0,15,0,10,80,70,40,8,0,25,15,80,5
272,Compass Box Flaming Heart (7th Edition),7,5,48.9,various casks ,55,20,20,10,15,45,45,20,10,0,15,10,65,5
273,Yellowstone Kentucky Straight Bourbon Finished in Marsala Casks (2022 Limited Edition),39,4,50.5,"new, charred American oak; finished in Marsala wine casks",35,0,65,25,15,60,60,45,0,0,40,40,40,0
274,Redbreast Kentucky Oak Edition,26,4,50.5,"ex-bourbon and ex-oloroso sherry butts, finished in American white oak barrels",20,0,30,0,35,65,65,25,0,0,15,30,20,20
275,Remus 15 Year Gatsby Reserve,17,5,48.9,"new, charred American oak",30,0,60,30,15,45,45,25,0,0,25,25,30,0
276,Elijah Craig Barrel Proof Bourbon Batch A122,88,3,60.4,"new, charred American oak",5,0,35,5,10,85,80,60,0,3,20,5,25,0
277,Knob Creek 15 Year Bourbon (2021 Release),67,4,50.0,"new, charred American oak",10,0,50,30,10,90,90,60,0,0,80,20,40,0
278,Barrell Craft Spirits Bourbon Gold Label (2021 Release),6,5,56.77,"new, charred American oak ",20,0,50,60,40,90,80,50,0,20,80,40,30,0
279,Lagavulin 26 Year (2021 Special Release),3,5,44.2,Pedro Ximenez & oloroso seasoned first-fill casks,65,45,30,25,15,60,65,50,15,5,20,10,40,8
280,Middle West Spirits Dark Pumpernickel Rye,33,3,48.0,American oak,5,0,80,30,5,70,80,50,10,3,20,10,20,5
281,The Last Drop 50 Year Signature Blended Scotch Whisky,0,5,48.7,,10,0,70,40,0,80,40,30,0,0,70,40,50,20
282,Larceny Barrel Proof Bourbon Batch B521,110,2,60.5,"new, charred American oak ",10,0,30,5,10,65,65,70,0,5,20,15,40,0
283,Laphroaig Cairdeas 2021 Pedro Ximenez Casks,78,4,58.9,"American oak ex-bourbon, quarter casks, ex-PX Sherry European oak hogsheads",35,55,25,45,15,40,40,45,25,15,15,10,55,5
284,Bruichladdich Laddie Origins Fèis Ìle 2021,6,5,56.3,Various casks,0,0,25,40,35,50,55,25,10,5,20,30,55,20
285,Elijah Craig Barrel Proof Bourbon Batch B521,188,3,59.1,"new, charred American oak",5,0,20,0,10,70,80,70,0,5,30,10,30,0
286,Bruichladdich Black Art 1992 9.1 Edition 29 Year,16,5,44.1,,0,0,15,35,45,50,55,40,5,0,20,40,35,10
287,Bruichladdich Bere Barley 2011,6,4,50.0,Ex-bourbon casks,0,0,15,35,50,60,65,20,5,5,30,35,40,10
288,Jefferson's Rye Cognac Cask Finish,139,3,47.0,finished in cognac casks,30,0,60,30,30,90,90,60,0,0,70,30,80,70
289,Barrell Seagrass,485,4,59.2,"finished in Martinique rhum, Malmsey Madeira, and apricot brandy casks",0,0,50,40,10,90,70,60,0,0,60,40,80,30
290,Elijah Craig Barrel Proof Bourbon Batch A121,241,3,61.8,"new, charred American oak",10,0,45,5,15,70,80,60,0,5,30,15,40,0
291,Benromach 21 Year,9,4,43.0,first-fill sherry and bourbon casks,10,0,25,20,40,45,60,35,0,0,30,30,40,15
292,Kilkerran 16 Year,40,5,46.0,"96% Bourbon, 4% Madeira",20,10,30,45,50,60,55,20,25,10,20,15,25,10
293,Laphroaig 10 Year Sherry Oak Finish,92,4,48.0,finished in ex-oloroso sherry oak casks,20,50,15,20,20,85,75,60,15,5,15,10,40,0
294,Thomas H. Handy Sazerac Rye (Fall 2020),100,4,64.5,"new, charred American oak",10,0,90,50,0,90,40,30,0,0,60,40,30,0
295,William Larue Weller Bourbon (Fall 2020),81,4,67.25,"new, charred American oak",20,0,40,50,0,90,70,60,0,0,80,30,20,0
296,Laphroaig Cairdeas 2020 Port & Wine Casks,81,3,52.0,"former ruby port barriques, ex-bourbon, ex-red wine casks",60,50,40,25,30,50,50,55,40,25,15,10,40,0
297,Laphroaig 30 Year The Ian Hunter Story Book 1,5,5,46.7,first-fill bourbon ,60,60,60,50,70,80,70,50,40,40,80,30,50,30
298,Stagg Jr Barrel Proof Bourbon Batch 13,323,2,64.2,"new, charred American oak",20,0,60,50,10,90,70,60,0,0,80,40,30,0
299,Pike Creek 21 Year Oloroso Cask Finish,19,4,45.0,Oloroso sherry casks and other oak casks,55,0,35,15,35,40,50,50,0,0,40,25,45,20
300,Angel's Envy Bourbon Finished in Port Wine Barrels Cask Strength (2019 Edition),167,5,61.2,"new, charred American oak; finished in ex-port casks",15,0,55,15,50,65,70,65,10,5,65,15,30,10
301,Canadian Club Chronicles 42 Year,20,5,45.0,ex-bourbon,45,0,50,25,30,45,50,40,0,0,40,15,45,30
302,Aberfeldy Exceptional Cask Series 18 Year Double Cask,8,5,53.8,sherry,10,0,45,35,60,75,70,65,10,5,45,10,30,15
303,Rabbit Hole Cavehill Kentucky Straight Bourbon,426,3,47.5,toasted and charred new American oak (char #3),0,0,45,0,25,65,70,55,0,20,20,10,30,5
304,Four Roses Limited Edition Small Batch Bourbon (2019),111,4,56.3,"new, charred American oak",20,0,85,70,75,85,90,70,0,0,70,50,70,40
305,Bruichladdich Bere Barley 2010,50,4,50.0,American oak ex-bourbon,0,10,10,35,50,50,50,20,0,0,20,25,35,10
306,Clynelish 20 Year 200th Anniversary,0,5,57.3,Bodega sherry casks & refill American oak casks,0,0,20,15,45,60,65,20,10,15,25,35,40,10
307,Bowmore 15 Year Fèis Ìle 2019,13,4,51.7,ex-bourbon,20,20,10,15,25,50,60,35,35,20,25,30,65,20
308,Caol Ila 22 Year Fèis Ìle 2019,10,5,58.4,sherry-treated freshly-charred American oak hogsheads,25,25,20,20,45,60,50,25,25,20,30,25,35,10
309,Forager's Keep 26 Year,33,5,48.0,,25,25,30,0,35,55,60,50,15,15,25,20,20,10
310,Wild Turkey Master's Keep Cornerstone Rye,154,5,54.5,"new, charred American oak",30,0,30,25,15,45,45,30,0,0,30,65,55,0
311,Bulleit 12 Year Rye,159,2,46.0,"new, charred American oak",5,0,45,0,40,65,70,20,0,20,35,0,35,0
312,Elijah Craig Barrel Proof Bourbon Batch A119,269,3,67.6,"new, charred American oak",20,0,65,25,75,70,75,60,10,10,50,15,20,10
313,Port Charlotte MRC:01 2010,69,4,59.2,"first-fill American whiskey and second-fill French wine casks, finished in French oak ex-Bordeaux wine casks",40,40,70,30,20,45,45,40,30,30,35,40,60,0
314,Booker's 30th Anniversary Bourbon,152,5,62.9,"new, charred American oak",20,0,65,30,55,70,75,60,15,10,60,5,15,10
315,Port Askaig 33 Year,0,5,50.3,,40,45,35,30,55,65,75,50,35,15,35,15,30,25
316,Springbank 9 Year Local Barley,21,4,57.7,ex-bourbon and ex-sherry,25,25,10,20,60,65,65,20,25,10,30,15,40,5
317,Craigellachie 33 Year,4,5,46.0,,5,0,25,30,50,55,65,60,15,10,40,10,15,30
318,Aerstone Land Cask 10 Year,172,2,40.0,,60,60,30,55,50,80,70,60,10,25,40,40,30,10
319,Kilbeggan Small Batch Rye,73,2,43.0,,0,0,20,10,15,40,40,25,5,5,25,0,35,20
320,Pike Creek 21 Year Finished in European Oak,11,4,45.0,"ex-bourbon, Hungarian oak, French oak",60,0,40,20,25,50,55,45,10,0,50,25,40,30
321,Sazerac Rye 18 Year (Fall 2018),32,4,45.0,"new, charred American oak",30,0,70,30,15,40,40,60,0,0,40,40,65,0
322,George T. Stagg Bourbon (Fall 2018),439,4,62.45,"new, charred American oak",20,0,80,40,20,90,70,60,0,0,90,10,20,0
323,Octomore 09.2 Dialogos,23,4,58.2,ex-American whiskey casks and ex-Bordeaux red wine casks,40,30,25,20,45,60,65,30,10,15,15,20,40,10
324,Four Roses 130th Anniversary Limited Edition Small Batch Bourbon (2018),146,4,54.2,"new, charred American oak",15,0,60,25,65,70,75,65,10,5,60,10,20,20
325,Heaven Hill 27 Year Barrel Proof Kentucky Straight Bourbon,43,5,47.35,"new, charred American oak",10,0,40,25,55,70,65,70,10,5,60,10,10,15
326,Laphroaig Cairdeas 2018 Fino Cask Finish,167,4,51.8,first-fill bourbon and ex-fino sherry cask,90,70,20,10,30,80,60,50,90,80,60,10,60,0
327,J.P. Wiser's Seasoned Oak,25,4,48.0,Seasoned Virgin Oak,40,0,60,25,0,55,65,50,10,0,50,30,55,35
328,Abraham Bowman Sweet XVI Bourbon,18,3,58.0,"new, charred American oak",30,0,60,30,20,90,80,70,0,0,80,40,30,0
329,Springbank 2004 12 Year Single Cask First-Fill Burgundy,2,4,57.5,First-fill Burgundy wine cask,55,25,35,20,40,45,70,15,0,25,0,0,25,10
330,Woodford Reserve Master's Collection Batch Proof 125.8,140,4,62.9,"new, charred American oak",40,0,45,20,25,45,45,65,0,0,45,15,45,0
331,Tyrconnell 15 Year Madeira Cask Finish,69,4,46.0,American oak ex-bourbon & Madeira wine casks,5,0,25,20,45,65,70,70,10,5,50,25,70,35
332,Bowmore Vintner's Trilogy 18 Year Double Matured Manzanilla,24,4,52.5,ex-bourbon & ex-manzanilla sherry,60,70,50,15,40,70,65,50,20,15,35,30,25,15
333,Pike Creek 21 Year Finished in Speyside Single Malt Casks,28,4,45.0,Used Canadian casks finished in Speyside single malt casks,40,10,45,10,25,50,50,45,0,0,30,10,55,30
334,Bladnoch Adela 15 Year,60,4,46.7,oloroso sherry butts made of Spanish and American oak,15,0,35,20,45,60,60,40,10,0,30,10,30,10
335,Nikka Miyagikyo Sherry & Sweet,27,5,55.0,,10,10,45,30,35,55,60,65,20,27,18,30,70,34
336,Westward American Single Malt,274,4,45.0,"new, charred American oak",15,0,25,15,30,45,45,55,0,0,10,15,15,0
337,Thomas H. Handy Sazerac Rye (Fall 2017),146,4,63.6,"new, charred American oak",30,0,70,30,10,45,45,45,0,0,30,30,70,0
338,Collectivum XXVIII (2017 Special Release),17,5,57.3,"combination of refill American oak hogsheads, refill European oak butts, ex-bodega European oak, and first-fill bourbon",20,10,80,50,30,70,80,60,0,20,70,30,40,30
339,Caol Ila 18 Year (2017 Special Release),64,5,59.8,refill American oak hogheads,20,0,50,30,50,70,50,50,60,50,60,30,40,0
340,Parker's Heritage Single Barrel Bourbon 11 Year,152,4,61.0,"new, charred American oak",25,0,65,30,45,60,70,40,10,5,50,20,30,10
341,Wayne Gretzky No. 99 Ninety Nine Proof Canadian Whisky,64,4,49.5,American Oak and Cabernet Sauvignon,45,0,55,20,20,50,50,45,0,0,35,30,45,25
342,Balvenie Peated Triple Cask 14 Year,99,4,48.0,"first-fill bourbon, refill bourbon, and sherry casks",55,50,45,20,0,55,55,45,0,0,45,25,50,35
343,Kavalan Solist Port Single Cask Strength,92,5,58.6,ex-port,10,0,40,10,0,90,80,60,0,20,60,40,60,20
344,Abraham Bowman Sequential Series 2nd Use Barrels,4,3,50.0,"new, charred American oak; finished in ex-bourbon",10,0,40,20,50,60,65,60,5,0,45,20,25,10
345,Wild Turkey Rare Breed Barrel Proof Bourbon,2773,2,58.4,"new, charred American oak",30,0,70,30,0,90,80,70,0,0,90,20,10,10
346,Tamdhu Batch Strength Batch 002,93,3,58.5,ex-sherry oak casks,20,20,50,15,40,60,75,25,10,10,30,5,15,15
347,Rabbit Hole Kentucky Straight Bourbon,620,2,47.5,toasted and charred new American oak (char #3),0,0,45,0,25,65,70,55,0,20,20,10,30,5
348,Teeling 1991 Vintage Reserve 24 Year Single Malt,49,5,46.0,"ex-bourbon, ex-Sauternes wine",30,15,15,0,15,55,50,60,0,0,50,70,70,10
349,Westland Winter 2016,20,4,50.0,ex-bourbon,70,65,40,15,65,60,70,80,25,10,55,10,90,50
350,Parker's Heritage Wheated Bourbon 10 Year,13,4,62.1,"New, Charred American Oak",60,0,60,30,10,50,55,55,0,0,55,30,25,25
351,The Tweeddale Blend 12 Year (Batch 3),2,2,46.0,,35,20,45,45,25,50,60,45,10,0,50,35,60,30
352,Compass Box 3 Year Deluxe Blended Malt,23,5,49.2,,20,20,60,30,40,70,60,50,0,10,70,10,60,20
353,"Booker's Bourbon Batch 2016-05 ""Off Your Rocker""",205,3,64.85,"new, charred American oak",20,0,60,30,50,70,80,70,0,0,80,10,0,0
354,Sazerac Rye 18 Year (Fall 2016),34,4,45.0,"new, charred American oak",30,0,70,40,10,70,60,50,0,0,50,0,10,0
355,George T. Stagg Bourbon (Fall 2016),95,4,72.05,"new, charred American oak",30,0,50,50,40,80,60,60,0,0,60,20,0,0
356,Cragganmore 25 Year (2014 Special Release),5,5,51.4,Refill American and European Oak Casks,25,0,45,35,30,45,65,35,10,25,65,75,70,45
357,Kavalan Solist Amontillado Single Cask Strength,33,5,50.0,ex-Amontillado sherry cask,10,0,50,10,20,50,40,40,0,0,40,30,30,20
358,Hibiki 17 Year Chrysanthemum & Crane,25,5,43.0,"EX-BOURBON AMERICAN OAK, EX-SHERRY EUROPEAN OAK, JAPANESE MIZUNARA",15,10,20,40,50,65,60,78,25,10,70,31,80,62
359,Canadian Rockies 35 Year,3,5,79.3,ex bourbon,50,0,60,40,15,50,50,55,0,0,50,25,60,25
360,Glen Scotia 15 Year,486,4,46.0,ex-bourbon ,15,0,30,15,15,80,75,65,10,15,40,20,60,10
361,Kavalan Amontillado Single Cask,6,5,56.3,Amontillado Sherry Cask ,40,0,50,10,10,55,50,40,10,10,55,20,60,50
362,Glenlivet Single Cask Pullman Club Car,8,5,56.24,first-fill sherry butt,10,0,20,0,15,80,80,70,0,0,40,10,30,10
363,Laphroaig Brodir,106,5,48.0,ex-bourbon and ex-ruby port ,65,75,80,10,30,60,70,65,55,45,40,15,90,20
364,Bowmore 25 Year,66,5,43.0,American Bourbon and Spanish Sherry,35,35,75,15,15,40,40,55,25,25,30,25,50,0
365,Gooderham & Worts Four Grain Canadian Whisky,174,2,44.4,,45,0,55,20,5,60,60,55,15,5,50,30,60,60
366,Teeling The Revival 15 Year Single Malt (Volume I),65,4,46.0,ex-Caribbean Rum barrels,15,0,50,40,35,65,70,40,0,0,10,65,90,20
367,Blanton's Gold Edition,872,3,51.5,"new, charred American oak",60,0,60,20,30,50,60,55,10,0,55,20,55,40
368,Buffalo Trace Experimental Collection 13 Year Old-Fashioned Sour Mash Bourbon (125 Entry Proof),20,4,45.0,"new, charred American oak",0,0,40,0,30,50,60,50,0,0,40,0,10,10
369,Glenmorangie 1970's Collection '75,0,5,43.2,,20,0,40,30,10,60,50,40,0,0,30,30,50,30
370,Glenmorangie 1970's Collection '75 Tain l'Hermitage,3,5,46.0,"American oak, finished in red Rhone wine barrels",0,0,50,40,10,70,70,50,0,0,20,40,60,40
371,Lagavulin 21 Year (2012 Special Release),18,5,52.0,European 1st-fill ex-sherry,50,70,35,55,20,50,65,30,20,20,15,15,35,0
372,Bakery Hill Peated Malt,13,4,46.0,,70,50,40,30,40,40,40,30,40,40,30,30,30,30
373,Overeem Sherry Cask Matured Single Malt Cask Strength,14,5,60.0,ex-sherry,30,0,40,30,20,40,40,40,30,40,50,30,40,60
374,Benromach Peat Smoke 2005,104,3,46.0,first-fill bourbon oak barrels,80,70,40,10,30,80,80,80,60,50,60,0,80,10
375,Bakery Hill Cask Strength Classic Single Malt,7,5,59.5,ex-bourbon,70,0,50,40,40,40,40,30,20,30,30,30,40,40
376,Parker's Heritage Master Distiller's Blend of Mashbills Bourbon,30,3,63.5,"new, charred American oak",10,0,80,60,40,70,60,70,0,20,60,30,90,30
377,WhistlePig Old World Series Madeira Finish 12 Year,251,4,45.0,"new, charred American oak; finished in Madeira casks",0,0,80,60,20,80,80,80,0,0,50,0,70,10
378,Dewar's Scratched Cask,154,2,40.0,finished in virgin and ex-bourbon barrels which were charred and then scratched,20,0,50,20,10,30,30,70,0,30,60,30,80,20
379,Crown Royal Hand Selected Barrel,158,2,51.5,new charred oak,0,0,60,10,20,60,30,80,0,0,50,10,80,20
380,The Glenrothes 1985 2nd Edition,21,5,43.0,,20,0,60,10,30,90,90,80,10,20,70,40,70,40
381,Springbank 21 Year,61,5,46.0,"ex-bourbon, ex-Oloroso sherry",30,30,50,20,50,60,60,50,30,30,20,30,40,30
382,Teeling Silver Reserve 21 Year Single Malt,33,4,46.0,"ex-bourbon, finished in ex-Sauternes wine casks",10,0,40,30,50,50,50,80,0,0,40,40,90,40
383,Yamazaki 1984,8,5,48.0,"Spanish sherry, American oak, Japanese Mizunara",30,0,75,20,20,60,60,70,0,0,50,10,75,55
384,Highland Park Thor,31,5,52.1,,30,25,40,20,25,50,50,55,30,50,30,40,50,30
385,Midleton Barry Crockett Legacy,205,5,46.0,ex-bourbon and new American oak,0,0,40,20,30,70,70,60,0,0,40,0,60,50
386,Highland Park 25 Year,141,5,50.7,ex-bourbon/first fill sherry,30,25,15,10,0,75,80,70,0,0,25,0,25,20
