id,name,category,location,price_tier,abv,cask_type,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
1000,Old Forester President's Choice Bourbon,Bourbon,"Kentucky, USA",5,59.3,"new, charred American oak",30,0,40,10,0,70,60,40,0,50,5,30,20
1001,Hellyers Road Henry's Legacy Saint Valentines Peak Single Malt,Single Malt,"Tasmania, Australia",4,60.1,ex-Australian-style port,0,0,60,30,10,30,70,50,10,40,50,50,50
1002,Limeburners Single Malt Port Cask,Single Malt,"Western Australia, Australia",4,43,ex-bourbon & Australian-style port,10,0,70,40,40,40,50,70,20,40,40,70,50
1003,Old Forester Birthday Bourbon 2015,Bourbon,"Kentucky, USA",3,50,"new, charred American oak",15,0,30,20,10,80,80,70,5,40,15,40,0
1004,Sazerac Rye 18 Year (Fall 2015),Rye,"Kentucky, USA",3,45,"new, charred American oak",20,0,80,40,40,70,50,40,0,40,10,20,30
1005,Limeburners Single Malt Sherry Cask Standard Strength,Single Malt,"Western Australia, Australia",4,43,ex-bourbon & Australian-style sherry,30,0,40,30,50,70,60,40,30,20,30,50,50
1006,Journeyman Distillery Three Oaks Single Malt Organic Whiskey,American Single Malt,"Michigan, USA",3,45,"ex-bourbon, ex-rum, and ex-port",10,0,20,30,10,80,100,90,10,70,0,40,30
1007,Timboon Port Expression Single Malt,Single Malt,"Victoria, Australia",4,41.5,ex-port,30,0,40,40,40,50,60,50,30,50,60,70,50
1008,Aultmore 12 Year,Single Malt,"Speyside, Scotland",3,46,,30,15,15,0,10,35,35,30,10,45,0,40,10
1009,Nikka Miyagikyo 15 Year,Single Malt,Japan,5,45,,30,10,75,20,60,65,40,80,15,30,20,65,30
1010,Hellyers Road Original 10 Year Single Malt,Single Malt,"Tasmania, Australia",3,46.2,american oak,40,0,30,10,60,40,60,50,10,50,30,40,40
1011,Arran Machrie Moor 5th Edition (2014 Release),Peated Single Malt,"Islands, Scotland",3,46,,0,20,30,40,70,80,70,70,30,90,30,20,30
1012,Kilchoman Machir Bay (2014 Edition),Peated Single Malt,"Islay, Scotland",2,46,ex-bourbon & ex-Sherry,50,70,40,0,20,60,70,80,70,40,0,40,10
1013,Evan Williams 12 Year Bourbon,Bourbon,"Kentucky, USA",4,50.5,"new, charred American oak",20,0,80,50,40,70,80,40,10,60,0,40,20
1014,Big Spring Spirits Silver Hare Wheat Whiskey,White,"Pennsylvania, USA",2,42.5,,0,0,10,70,30,10,10,60,10,40,10,20,10
1015,Laws Secale Straight Rye Whiskey,Rye,"Colorado, USA",3,50,"new, charred American oak",0,0,80,60,20,40,20,60,10,60,10,60,40
1016,Balvenie Madeira Cask 17 Year,Single Malt,"Speyside, Scotland",5,43,"used oak, finished in ex-Madeira wine casks",5,0,65,10,15,65,60,60,5,40,35,75,15
1017,Blade and Bow Bourbon,Bourbon,"Kentucky, USA",2,45.5,"new, charred American oak",0,0,70,40,20,30,30,80,20,90,10,40,20
1018,Dalmore Cigar Malt Reserve,Single Malt,"Highlands, Scotland",4,44,"ex-bourbon, ex-Matusalem oloroso casks, ex-Cabernet Sauvignon casks",60,50,70,40,70,80,80,80,15,70,50,80,50
1019,Glengoyne 21 Year,Single Malt,"Highlands, Scotland",4,43,first-fill sherry,0,0,70,40,20,80,90,90,10,70,20,90,60
1020,Glenmorangie Burgundy Wood Finish,Single Malt,"Highlands, Scotland",4,43,finished in ex-burgundy casks,0,0,50,20,30,80,80,70,40,60,50,80,50
1021,Glenfiddich Age of Discovery Madeira Cask 19 Year,Single Malt,"Speyside, Scotland",4,40,finished in ex-madeira wine casks,30,0,80,10,20,90,90,70,10,60,10,60,50
1022,Jim Beam Single Barrel Bourbon (95 Proof),Bourbon,"Kentucky, USA",2,47.5,"new, charred American oak",50,0,60,30,40,70,80,70,20,70,20,50,50
1023,Aultmore 21 Year,Single Malt,"Speyside, Scotland",5,46,refill hogsheads,20,0,60,20,40,55,55,75,10,50,50,80,45
1024,Highland Park Odin,Peated Single Malt,"Islands, Scotland",5,55.8,first-fill sherry and refill hogsheads,30,30,50,20,40,70,70,70,30,40,40,80,40
1025,Sutcliffe & Son The Exceptional Grain,Blended Grain,Scotland,4,43,finished in first-fill sherry,20,0,40,30,40,45,45,70,20,40,40,70,10
1026,Speyburn 25 Year,Single Malt,"Highlands, Scotland",5,46,ex-bourbon/ex-sherry,0,0,20,0,15,70,70,75,5,40,20,50,0
1027,anCnoc 18 Year,Single Malt,"Highlands, Scotland",4,46,ex-bourbon/ex-sherry,15,0,25,0,20,70,70,70,10,15,10,40,0
1028,Bunnahabhain Ceobanach,Peated Single Malt,"Islay, Scotland",4,46.3,ex-bourbon,80,60,10,20,25,40,60,70,15,20,15,30,10
1029,MB Roland Still and Barrel Proof Bourbon,Bourbon,"Kentucky, USA",3,51.8,"new, charred American oak",20,0,70,30,30,50,70,70,10,80,20,40,50
1030,MB Roland Kentucky Black Patch Whiskey,Other Whiskey,"Kentucky, USA",3,52.7,3rd and 4th fill used-bourbon barrels,90,50,30,70,50,50,50,50,30,60,20,60,70
1031,Jim Beam Bonded Bourbon,Bourbon,"Kentucky, USA",1,50,"new, charred American oak",30,0,70,40,30,60,70,70,20,80,10,70,70
1032,Jim Beam Pre-Prohibition Style Rye,Rye,"Kentucky, USA",1,45,"new, charred American oak",0,0,90,50,50,70,70,60,10,70,20,60,60
1033,Redemption Barrel Proof 7 Year Straight Rye,Rye,"Indiana, USA",4,61.2,"new, charred American oak",15,0,40,5,15,80,75,70,0,30,0,30,0
1034,Maker's Mark Cask Strength,Bourbon,"Kentucky, USA",3,56.6,"new, charred American oak",20,0,90,40,50,70,80,60,50,90,0,60,0
1035,Whistlepig 10 Year Small Batch Rye,Rye,"(bottled in) Vermont, Canada",3,50,finished in bourbon barrels,30,0,80,0,0,45,40,30,0,60,0,15,0
1036,Lost Prophet 22 Year Bourbon,Bourbon,"Kentucky, USA",4,45.05,"new, charred American oak",5,0,30,0,15,80,80,70,0,40,20,50,0
1037,Blue Hanger 10th Limited Release,Blended Malt,Scotland,4,45.6,,15,0,5,0,20,85,90,85,15,40,0,40,10
1038,Lot No. 40 Canadian Rye (2012 Release),Canadian,Canada,3,43,,20,0,80,50,0,80,70,40,20,30,40,80,70
1039,"Treaty Oak Red Handed Bourbon (Kentucky, Indiana, Tennessee)",Bourbon,USA,2,42,"new, charred American oak",20,0,55,20,15,30,25,50,0,50,45,60,20
1040,Bushmills 1608 Anniversary Edition,Blended,Northern Ireland,3,46,ex-bourbon,15,0,0,0,10,85,80,85,5,35,0,25,0
1041,Hillrock Estate Single Malt,American Single Malt,"New York, USA",4,43,,0,0,20,0,5,70,70,75,0,35,0,10,5
1042,Macallan 1824 Series Ruby,Single Malt,"Highlands, Scotland",5,43,First Fill Eurpopean Oak Sherry Cask,0,0,70,20,10,40,70,60,20,50,10,70,20
1043,Kilchoman Vintage 2007,Peated Single Malt,"Islay, Scotland",4,46,ex-bourbon,30,70,20,30,50,50,50,60,30,80,20,60,50
1044,Balvenie Tun 1401 Batch 9,Single Malt,"Speyside, Scotland",5,49.3,used whisky and ex-sherry,53,0,81,61,74,79,81,73,46,70,54,77,68
1045,Glen Garioch 15 Year Renaissance,Single Malt,"Highlands, Scotland",4,51.9,ex-sherry,0,0,25,5,10,80,80,70,0,20,0,30,5
1046,Highland Park Dark Origins,Peated Single Malt,"Orkney, Scotland",3,46.8,ex-bourbon/first fill sherry,30,25,0,0,0,70,70,80,0,20,0,25,10
1047,Aberlour 16 Year Double Cask Matured,Single Malt,"Highlands, Scotland",3,43,first fill bourbon & sherry butts,12,12,68,54,65,83,85,81,54,78,35,78,59
1048,Westward Small Batch Oregon Straight Malt Whiskey,American Single Malt,"Oregon, USA",4,45,"new, lightly charred American oak",15,0,50,70,30,65,65,40,10,30,30,40,0
1049,William Larue Weller Bourbon (Fall 2014),Bourbon,"Kentucky, USA",3,70.1,new charred oak,0,0,40,0,15,80,80,65,5,25,10,25,0
1050,Sazerac 18 Year Rye (Fall 2014),Rye,"Kentucky, USA",3,45,new charred oak,0,0,35,10,15,80,80,65,0,20,15,25,0
1051,Elijah Craig 23 Year Single Barrel Bourbon,Bourbon,"Kentucky, USA",5,45,new charred oak,5,0,30,5,0,65,65,65,0,20,5,15,5
1052,anCnoc 16 Year,Single Malt,"Highlands, Scotland",3,45,ex-bourbon,20,0,40,30,40,70,70,70,40,70,40,70,30
1053,Jack Daniel's Sinatra Select,Tennessee,"Tennessee, USA",4,45,"new, charred American oak",50,0,50,40,50,70,70,70,0,80,30,60,40
1054,Douglas Laing's Double Barrel Highland Park & Bowmore,Blended Malt,Scotland,3,46,,30,30,5,20,0,50,50,60,10,10,5,20,15
1055,Michter's 10 Year Single Barrel Rye,Rye,"Kentucky, USA",4,46.4,"new, charred American oak",15,0,30,20,10,75,75,60,0,10,0,10,10
1056,Lagavulin 12 Year (2008 Special Release),Peated Single Malt,"Islay, Scotland",4,56.4,refill american oak,45,40,5,20,10,60,60,50,10,15,10,5,0
1057,Crown Royal 75th Anniversary Blend,Canadian,"Manitoba, Canada",3,40,,20,0,50,30,20,50,50,70,0,60,40,60,30
1058,Westland Single Cask Release #221,American Single Malt,"Washington, USA",3,54,"new, charred American oak",30,0,60,70,20,50,50,50,10,30,40,50,40
1059,Westland Single Cask Release #281,American Single Malt,"Washington, USA",3,52,"charred, new American oak; 1st fill Oloroso sherry",20,0,60,40,20,60,60,70,10,40,50,70,20
1060,Whisky Jewbilee Festival Bottling 2014 (Single Cask Nation),Blended American Whiskey,USA,4,60.5,,5,0,30,5,0,70,70,70,0,20,0,30,10
1061,Johnny Drum Private Stock Bourbon,Bourbon,"Kentucky, USA",2,50.5,"new, charred American oak",20,0,50,30,30,60,60,70,10,70,30,60,0
1062,Four Roses 125th Anniversary Limited Edition Small Batch Bourbon (2013),Bourbon,"Kentucky, USA",4,51.6,new charred oak,15,0,25,0,10,65,65,75,0,25,0,20,15
1063,Stronachie 12 Year,Peated Single Malt,"Speyside, Scotland",3,43,used American and European oak,20,20,40,40,30,60,60,70,20,40,50,70,30
1064,Abraham Bowman Double Barrel Bourbon,Bourbon,"Virginia, USA",3,50,new oak,0,0,65,0,0,60,60,80,0,20,0,25,0
1065,The Irishman Cask Strength (2013 Release),Blended,Ireland,5,54,ex-bourbon,20,0,60,40,20,60,50,60,0,50,50,70,30
1066,Auchentoshan 21 Year,Single Malt,"Lowlands, Scotland",5,43,ex-bourbon & ex-sherry,20,0,70,30,30,70,70,80,0,60,30,70,50
1067,BenRiach Septendecim 17 Year,Peated Single Malt,"Speyside, Scotland",4,46,ex-Bourbon,50,70,50,70,40,50,50,40,10,30,40,20,0
1068,Aberfeldy 21 Year,Single Malt,"Highlands, Scotland",5,40,ex-bourbon & ex-Sherry,30,0,70,40,20,70,80,70,20,60,20,80,50
1069,Wild Turkey Forgiven,Blended American Whiskey,"Kentucky, USA",3,45.5,"new, charred American oak",50,0,70,30,20,60,60,70,0,50,40,40,10
1070,Tullamore D.E.W. 12 Year Special Reserve,Blended,Ireland,2,40,ex-bourbon & ex-Sherry,60,0,40,20,30,60,60,70,0,70,20,40,20
1071,Glen Garioch Founder's Reserve,Single Malt,"Highland, Scotland",2,48,ex-bourbon and ex-sherry,20,0,40,50,50,60,60,50,0,60,70,60,20
1072,Bowmore The Devil's Casks 10 Year,Peated Single Malt,"Islay, Scotland",4,56.9,First Fill Sherry Casks,50,50,90,40,40,60,60,70,40,40,50,60,30
1073,Hakushu 18 Year,Peated Single Malt,Japan,5,43,"Used Bourbon, Hogshead, Puncheon, Sherry Casks",60,50,60,70,70,70,80,70,30,70,50,70,60
1074,BenRiach 15 Year Tawny Port Finish,Single Malt,"Speyside, Scotland",4,46,"ex-bourbon, ex-Tawny Port ",20,0,50,30,40,50,50,50,10,30,40,80,60
1075,"Colonel E.H. Taylor, Jr. Small Batch Bottled in Bond Bourbon",Bourbon,"Kentucky, USA",2,50,"new, charred American oak",40,0,40,30,80,70,70,50,10,50,20,40,50
1076,Ledaig 10 Year,Peated Single Malt,"Islands, Scotland",2,46.3,Ex-Bourbon,60,60,60,30,40,70,70,40,50,60,30,30,20
1077,Tobermory 10 Year,Single Malt,"Islands, Scotland",2,46.3,first-fill bourbon,0,0,50,30,30,60,60,60,40,50,50,70,30
1078,Stagg Jr Barrel Proof Bourbon Batch 1,Bourbon,"Kentucky, USA",3,67.2,"new, charred American oak",60,0,50,20,60,70,70,60,0,60,40,70,50
1079,Bunnahabhain 18 Year,Peated Single Malt,"Islay, Scotland",4,46.3,"ex-Bourbon, ex-Oloroso Sherry",30,30,60,20,50,70,60,70,40,50,30,70,20
1080,Caol Ila Distillers Edition,Peated Single Malt,"Islay, Scotland",3,43,finished in Moscatel Sherry ,60,60,60,40,50,60,70,60,40,60,30,70,40
1081,Macallan 18 Year Sherry Oak Cask,Single Malt,"Highlands, Scotland",5,43,ex-Sherry,30,0,40,10,30,70,80,80,10,60,20,90,10
1082,Springbank 15 Year,Peated Single Malt,"Campbeltown, Scotland",4,46,100% ex sherry,40,40,50,30,40,70,60,70,60,50,30,70,70
1083,Jura Prophecy,Peated Single Malt,"Islands, Scotland",3,46,,70,80,60,60,60,50,50,50,40,20,30,30,10
1084,Glenfiddich 21 Year Reserva Rum Cask Finish,Single Malt,"Speyside, Scotland",5,40,"Ex-bourbon, Ex-Sherry, Ex-Rum",60,10,60,10,40,70,80,80,10,80,30,70,40
1085,Auchentoshan Three Wood,Single Malt,"Lowlands, Scotland",3,43,"ex-Bourbon, ex-Oloroso Sherry, ex-Pedro Ximenez Sherry",50,10,50,20,30,60,80,90,30,50,40,80,30
1086,Balcones Brimstone,Corn,"Texas, USA",3,53,American Oak,100,0,80,30,70,90,100,30,40,20,0,50,0
1087,Aberfeldy 12 Year,Single Malt,"Highlands, Scotland",2,40,American Oak,20,10,40,10,20,60,70,70,10,70,40,80,30
1088,Glenfarclas 21 Year,Single Malt,"Highlands, Scotland",4,43,European oak ex-oloroso sherry cask,40,20,60,40,50,70,60,70,20,50,40,70,20
1089,Glenlivet 18 Year,Single Malt,"Speyside, Scotland",3,43,American & European Oak,20,0,50,0,20,70,70,80,0,60,50,80,30
1090,Michter's US*1 American Whiskey,Other Whiskey,USA,2,41.7,bourbon-soaked American white oak,0,0,15,0,10,80,80,85,0,40,10,25,0
1091,Michter's 10 Year Single Barrel Bourbon,Bourbon,"Kentucky, USA",4,47.2,"new, charred American oak",20,0,55,30,60,40,60,70,10,35,30,60,55
1092,Talisker 25 Year,Peated Single Malt,"Islands, Scotland",5,57.8,American and European oak refill cask,20,30,55,10,50,60,65,10,35,10,20,35,5
1093,Oban 18 Year,Peated Single Malt,"Highlands, Scotland",5,43,American Oak,30,30,60,40,70,80,70,70,40,60,40,70,40
1094,Macallan Fine Oak 17 Year,Single Malt,"Highlands, Scotland",4,43,European & American oak ex-Sherry & American oak ex-bourbon,30,0,50,30,30,60,70,70,0,60,40,70,20
1095,Glenfiddich 18 Year,Single Malt,"Speyside, Scotland",4,40,Oloroso Sherry Casks & Bourbon casks,40,10,50,20,40,70,80,90,30,70,40,80,60
1096,Dalwhinnie Distillers Edition,Peated Single Malt,"Highlands, Scotland",3,43,Oloroso sherry casks,20,15,60,20,20,70,70,80,50,70,40,80,70
1097,Ardbeg 10 Year,Peated Single Malt,"Islay, Scotland",3,46,,70,80,40,50,80,60,50,40,40,50,40,50,20
1098,Russell's Reserve 6 Year Rye,Rye,"Kentucky, USA",2,45,"new, charred American oak",0,0,25,0,0,70,70,70,0,15,0,10,5
1099,Springbank 12 Year Cask Strength,Peated Single Malt,"Campbeltown, Scotland",3,54.1,Ex-Sherry & Ex-Bourbon,35,30,60,20,60,70,75,30,20,15,10,35,0
1100,Longrow 18 Year,Peated Single Malt,"Campbeltown, Scotland",5,46,Ex-bourbon & Ex-Sherry,75,40,20,35,50,45,60,30,25,20,25,30,25
1101,Laphroaig 18 Year,Peated Single Malt,"Islay, Scotland",4,48,ex-bourbon,50,50,40,20,50,60,60,50,30,30,40,60,80
1102,Redbreast 12 Year,Single Pot Still,Ireland,3,40,ex-bourbon and ex-oloroso sherry,20,10,50,30,30,50,60,70,10,50,50,70,20
1103,1792 Ridgemont Reserve Bourbon 8 Year,Bourbon,"Kentucky, USA",2,46.85,"new, charred American oak",60,0,70,50,60,70,60,50,30,30,40,50,50
1104,Four Roses Single Barrel Bourbon,Bourbon,"Kentucky, USA",2,50,"new, charred American oak",40,0,80,40,40,50,60,30,10,30,30,50,50
1105,Maker's Mark 46 French Oaked,Bourbon,"Kentucky, USA",2,47,"new, charred American oak; finished with seared French oak staves   ",30,0,80,20,10,60,60,70,10,80,50,30,20
1106,Knob Creek 9 Year Single Barrel Reserve,Bourbon,"Kentucky, USA",2,60,"new, charred American oak",30,0,80,30,30,70,70,60,0,70,30,50,0
1107,Johnnie Walker Blue Label,Peated Blend,Scotland,5,40,,40,40,40,30,40,60,60,70,20,60,60,70,90
1108,Compass Box Asyla,Blended,Scotland,2,40,first-fill American standard barrels and refill hogshead,10,10,50,30,20,50,60,70,20,70,50,70,40
1109,Larceny Barrel Proof Bourbon Batch A123,Bourbon,"Kentucky, USA",3,62.9,"new, charred American oak",8,0,35,0,20,85,80,50,0,30,15,20,0
1110,Waterford Heritage Hunter 1.1,Single Malt,Ireland,4,50,"1st fill US oak, virgin US oak, French oak, Vin Doux Naturel",0,0,20,65,5,60,60,50,10,20,15,25,15
1111,"Booker's Bourbon Batch 2022-04 ""Pinkie's Batch""",Bourbon,"Kentucky, USA",4,61.2,"new, charred American oak",5,0,25,10,15,75,75,35,3,30,15,25,0
1112,Barrell Craft Spirits Gold Label Dovetail (2022 Release),Other Whiskey,Multiple Countries,5,70.09,"finished in rum, port, and Dunn Vineyards cabernet sauvignon wine casks",3,0,60,5,15,55,55,35,8,20,15,60,0
1113,Blue Run Kentucky Straight Emerald Rye,Rye,"Kentucky, USA",4,58.35,"new, charred American oak",20,0,70,45,10,60,60,35,0,25,25,35,0
1114,Uncle Nearest Single Barrel Rye,Rye,Multiple Countries,4,57.2,,3,0,50,10,20,85,80,40,0,20,15,30,5
1115,Michter's 20 Year Kentucky Straight Bourbon (2022 Release),Bourbon,"Kentucky, USA",5,57.1,"new, charred American oak",10,0,30,5,15,80,75,35,0,20,15,25,0
1116,HIRSCH The Bivouac,Bourbon,"Kentucky, USA",3,50,"new, charred American oak",5,0,65,5,10,40,40,50,0,25,10,20,0
1117,Dewar's French Cask Smooth,Blended,Scotland,1,40,finished in French oak Calvados casks,3,0,20,0,10,60,65,70,0,30,15,66,0
1118,Milam & Greene Unabridged Volume 1,Bourbon,USA,4,59,"new, charred American oak",5,0,30,5,20,50,50,60,0,20,10,15,0
1119,Barrell Vantage,Bourbon,"(bottled in) Kentucky, USA",4,57.22,"new, charred American oak; finished in Mizunara oak, French oak, and toasted American oak barrels",0,0,60,10,15,50,50,60,0,15,25,60,3
1120,Barrell Craft Spirits Gray Label Dovetail (2022 Release),Other Whiskey,Multiple Countries,5,65.77,"finished in rum, port, and Dunn Vineyards cabernet sauvignon wine casks",5,0,30,5,20,80,80,60,10,40,20,25,0
1121,Buzzard's Roost Char #1 Straight Bourbon,Bourbon,"Indiana (finished in Kentucky), USA",3,52.5,finished in char #1 oak barrels,0,0,25,5,20,45,45,40,0,35,15,60,0
1122,Barrell Bourbon Batch 033,Bourbon,"(bottled in) Kentucky, USA",4,58.3,"new, charred American oak",10,0,30,10,20,80,80,70,0,30,20,25,0
1123,Laphroaig Cairdeas 2022 Warehouse 1,Peated Single Malt,"Islay, Scotland",4,52.2,first-fill Maker's Mark bourbon ,50,30,20,50,10,40,45,40,10,15,5,35,0
1124,Wyoming Whiskey National Parks No. 2,Bourbon,"Wyoming, USA",3,52.5,"new, charred American oak",3,0,25,10,10,70,75,60,0,20,5,30,0
1125,Larceny Barrel Proof Bourbon Batch B522,Bourbon,USA,3,61.9,"new, charred American oak ",10,0,30,5,15,85,80,70,0,20,15,25,0
1126,Elijah Craig Barrel Proof Bourbon Batch B522,Bourbon,"Kentucky , USA",3,60.5,"new, charred American oak",5,0,30,10,25,90,80,60,5,30,20,25,0
1127,Wilderness Trail Bottled in Bond Small Batch Bourbon (Wheated Bourbon),Bourbon,"Kentucky, USA",3,50,"new, charred American oak ",10,0,25,15,20,45,45,60,0,30,15,25,0
1128,Old Elk Master's Blend Series Double Wheat Straight Whiskey,Blended American Whiskey,USA,4,53.55,"new, charred American oak",35,0,40,0,15,50,50,65,0,35,40,45,0
1129,Caisteal Chamuis 12 Year Blended Malt,Peated Blended Malt,"Islands, Scotland",3,46,refill American oak hoghsheads; finished in oloroso sherry seasoned American and European oak casks,40,25,30,10,15,45,45,60,0,25,15,30,10
1130,Castle & Key Small Batch Bourbon 2022 (Batch 1),Bourbon,"Kentucky, USA",2,49,"new, charred American oak",5,0,45,10,20,50,50,40,0,20,45,80,5
1131,Michter's US*1 Barrel Strength Kentucky Straight Rye (2022 Release),Rye,"Kentucky, USA",4,55.8,"new, charred American oak",5,0,50,25,10,45,45,40,0,10,20,30,5
1132,Larceny Barrel Proof Bourbon Batch A122,Bourbon,"Kentucky, USA",2,62.2,"new, charred American oak ",5,0,40,0,5,45,45,60,0,20,5,50,0
1133,Glendalough 7 Year Mizunara Finish,Single Malt,Ireland,4,46,finished in Mizunara oak barrels,5,0,70,15,10,60,60,60,0,20,15,70,10
1134,Uncle Nearest 1884 Small Batch,Tennessee,"Tennessee, USA",2,46.5,"new, charred American oak",10,0,50,5,10,45,45,50,0,20,10,15,0
1135,Town Branch Sherry Cask Finished Bourbon (48.2%),Bourbon,"Kentucky, USA",3,48.2,"new, charred American oak; finished in oloroso sherry casks",10,0,60,30,20,70,90,50,0,60,40,80,30
1136,Jefferson's Ocean Aged at Sea Voyage 24,Bourbon,USA,3,45,"new, charred American oak",5,0,50,0,10,80,75,50,10,30,10,20,0
1137,Smooth Ambler Old Scout Straight Bourbon (NAS),Bourbon,"Indiana (bottled in West Virginia), USA",2,49.5,"new, charred American oak",5,0,35,10,10,55,55,60,0,25,10,40,0
1138,Heaven's Door The Bootleg Series Volume III: Sunday Afternoon,Bourbon,"Kentucky, USA",5,60.6,"new, charred American oak; finished in Spanish Vino de Naranja casks",15,0,55,5,5,50,50,60,0,15,30,15,0
1139,Bladnoch 14 Year (2021 Release),Single Malt,"Lowlands, Scotland",4,46.7,ex-oloroso sherry ,0,0,55,0,10,45,45,70,0,20,15,60,5
1140,Macallan Harmony Collection Rich Cacao,Single Malt,"Highlands, Scotland",5,44,sherry seasoned European and American oak casks,0,0,30,10,70,70,100,60,0,90,40,80,20
1141,Middle West Spirits Ported Pumpernickel Rye,Rye,"Ohio, USA",4,49.75,finished in tawny port casks,0,0,60,60,5,55,55,65,5,25,15,50,5
1142,Middle West Spirits Oloroso Wheat Whiskey,Wheat Whiskey,"Ohio, USA",4,50,finished in ex-oloroso sherry,4,0,30,0,10,55,55,70,10,25,15,60,0
1143,Lagavulin 12 Year (2021 Special Release),Peated Single Malt,"Islay, Scotland",4,56.5,refill American oak casks,50,30,50,25,10,45,45,40,5,15,10,15,5
1144,Benriach Malting Season (First Edition),Single Malt,"Speyside , Scotland",4,48.7,"ex-bourbon, virgin oak ",3,0,60,0,5,40,45,60,0,20,10,65,3
1145,"Booker's Bourbon Batch 2021-03 ""Bardstown Batch""",Bourbon,"Kentucky , USA",4,62.75,"new, charred American oak ",10,0,30,5,10,50,80,75,0,20,10,80,0
1146,Maker's Mark Wood Finishing Series 2021 FAE-02,Bourbon,"Kentucky, USA",3,54.55,"new, charred American oak, French oak stave ",10,0,85,10,10,60,60,60,5,30,15,25,0
1147,Watershed Barrel Strength Bourbon Finished in Apple Brandy Barrels (Batch 002),Bourbon,"Ohio, USA",4,60.4,"new, charred American oak, apple brandy barrels ",10,0,60,30,20,80,60,40,10,70,40,80,30
1148,William Larue Weller Bourbon (Fall 2021),Bourbon,"Kentucky, USA",4,62.65,"new, charred American oak",10,0,55,5,10,50,50,60,5,15,25,30,0
1149,Widow Jane Lucky Thirteen Small Batch Bourbon,Bourbon,"New York, USA",4,46.5,"new, charred American oak ",10,0,60,10,10,55,55,35,0,20,15,25,0
1150,Great Jones Straight Rye,Rye,"New York, USA",2,45,"new, charred American oak ",5,0,50,30,10,45,45,60,0,15,20,35,10
1151,Rieger's 6 Year Bottled in Bond Straight Rye (Fall 2021),Rye,"Missouri, USA",2,50,"new, charred American oak ",5,0,40,15,10,85,80,65,0,20,5,25,5
1152,Old Fitzgerald Bottled in Bond 11 Year (Fall 2021),Bourbon,"Kentucky, USA",4,50,"new, charred American oak ",10,0,20,10,10,65,65,70,0,15,25,30,0
1153,Basil Hayden Toast,Bourbon,USA,2,40,"new, charred American oak; finished in toasted barrels",5,0,55,20,10,50,75,65,5,20,15,45,0
1154,Manatawny Still Works Select Four Grain American Whiskey,Other Whiskey,"Pennsylvania , USA",3,47,New American oak,10,0,40,50,30,70,70,70,10,60,50,70,40
1155,Timorous Beastie Meet the Beast,Blended Malt,"Highlands, Scotland",3,54.9,Bourbon casks,0,0,25,20,25,35,30,40,0,40,30,25,25
1156,White Heather 21 Year Blended Scotch Whisky,Blended,"Scotland , Scotland",5,48,European and American Oak,10,5,25,30,30,40,20,30,0,30,10,20,15
1157,Tullibardine 12 Year,Single Malt,"Highlands, Scotland",2,40,first fill ex-bourbon ,5,0,25,5,10,55,55,60,0,20,25,60,5
1158,Bardstown Bourbon Co. The Prisoner Wine Co. Finish #2,Bourbon,"Tennessee (bottled in Kentucky), USA",4,50,finished in French oak red wine casks,10,0,30,15,10,80,75,70,5,20,20,50,0
1159,Rabbit Hole Raceking Founder's Collection Double Chocolate Malt Bourbon (2021 Release),Bourbon,"Kentucky, USA",5,56.2,"new, charred American oak",10,0,30,20,15,85,85,70,3,30,15,20,5
1160,Benriach The Thirty,Peated Single Malt,"Speyside, Scotland",5,46,"bourbon, sherry, virgin oak, port wine",20,8,30,10,30,85,80,60,5,20,20,40,0
1161,Waterford Rathclogh Edition 1.1,Single Malt,Ireland,4,50,"ex-bourbon, French oak, new American oak, and ex-VDN, ",10,0,30,10,30,70,80,60,0,80,30,90,20
1162,Aberfeldy 18 Year French Red Wine Cask Finish (2020 Pauillac Edition),Single Malt,"Highland, Scotland",4,43,finished in French red wine casks,5,0,45,30,60,60,70,65,5,55,20,35,25
1163,Castle & Key Restoration Rye 2020 (Batch #1),Rye,"Kentucky, USA",2,51.5,"new, charred American oak",30,0,70,50,10,70,50,40,10,80,40,10,10
1164,Barrell Bourbon Batch 026,Bourbon,USA,4,56.32,"new, charred American oak",10,5,65,25,60,65,70,65,5,70,20,30,15
1165,Ardnamurchan AD/09.20:01,Peated Single Malt,"Highlands, Scotland",2,46.8,65% bourbon & 35% sherry casks (PX & oloroso),25,20,20,40,35,40,45,20,35,10,15,20,5
1166,"Booker's Bourbon Batch 2020-03 ""Pigskin Batch""",Bourbon,"Kentucky, USA",4,63.65,"new, charred American oak",10,0,30,5,20,85,85,75,15,35,15,40,0
1167,New Riff Winter Whiskey,Bourbon,"Kentucky, USA",2,50,"new, charred American oak",15,0,55,15,15,45,45,55,0,50,35,30,0
1168,Russell's Reserve 13 Year Bourbon (2021 Release),Bourbon,"Kentucky, USA",3,57.4,"new, charred American oak",20,0,60,30,10,90,30,40,0,90,30,70,0
1169,Stranahan's Mountain Angel,American Single Malt,"Colorado, USA",4,47.3,"new, charred American oak (char #3)",0,0,50,40,0,55,80,25,0,5,0,15,0
1170,John Walker & Sons Celebratory Blend,Blended,Scotland,3,51,,20,20,20,10,35,40,40,45,5,40,20,30,10
1171,Macallan Double Cask 18 Year,Single Malt,"Highlands, Scotland",5,43,American & European sherry-seasoned oak casks,25,0,55,25,25,60,60,60,10,25,35,65,0
